^,a9,Main language spoken at home
a,1, English
b,2, Tagalog
c,3, Cebuano
d,4, Ilocano
e,5, Bicol Riconada
f,6, Bicol Partido
g,7, Bicol Naga
h,8, Waray
i,9, Kapampangan
j,10, Itawes
^,reg1,Region
a,1, Ilocos
b,2, Cagayan Valley
c,3, Central Luzon
d,4, CALABARZON
e,5, Bicol
f,6, Western Visayas
g,7, Central Visayas
h,8, Eastern Visayas
i,9, Zamboanga Peninsula
j,10, Northern Mindanao
k,11, Davao
l,12, SOCCSKSARGEN
m,13, NCR
n,14, CAR
o,15, ARMM
p,16, CARAGA
q,17, MIMAROPA
r,18, Negros Island Region
^,prov1,Province
a,1, Pangasinan
b,2, Cagayan
c,3, Aurora
d,4, Pampanga
e,5, Batangas
f,6, Cavite
g,7, Rizal
h,8, Camarines Sur
i,9, Capiz
j,10, Cebu
k,11, Eastern Samar
l,12, Zamboanga del Sur
m,13, Bukidnon
n,14, Davao del Norte
o,15, Davao del Sur
p,16, Sultan Kudarat
q,17, Caloocan
r,18, Manila+B3
s,19, Marikina
t,20, Quezon City
u,21, Abra
v,22, Benguet
w,23, Surigao del Sur
x,24, Occidental Mindoro
y,25, Negros Occidental
z,26, Maguindanao
^,ur1,Urban or Rural
a,0, Rural
b,1, Urban
^,a1,Gender
a,1, Male
b,2, Female
^,a2,Birthdate
a,9, 9-11
a,10, 9-11
a,11, 9-11
b,12, 12-14
b,13, 12-14
b,14, 12-14
c,15, 15-17
c,16, 15-17
c,17, 15-17
^,a3a,Mother
a,0, No
b,1, Yes
^,a3b,Father
a,0, No
b,1, Yes
^,a3c,Step or foster mother
a,0, No
b,1, Yes
^,a3d,Step or foster father
a,0, No
b,1, Yes
^,a3e,Grandparent(s) or other relatives
a,0, No
b,1, Yes
^,a3f,Siblings (including half; step or foster siblings)
a,0, No
b,1, Yes
^,a3g,My spouse or partner (including boyfriend/girlfriend)
a,0, No
b,1, Yes
^,a3h,My child or children
a,0, No
b,1, Yes
^,a3i,Parents (or relatives) of my spouse or partner
a,0, No
b,1, Yes
^,a3j,I live in a foster home or children's home
a,0, No
b,1, Yes
^,a3k,I live alone
a,0, No
b,1, Yes
^,a3l,Someone or somewhere else: please state____
a,0, No
b,1, Yes
^,a4a,I am a school student
a,0, No
b,1, Yes
^,a4g,I am a student in college
a,0, No
b,1, Yes
^,a4h,I am attending training in technical/vocational course
a,0, No
b,1, Yes
^,a4c,I do paid employment
a,0, No
b,1, Yes
^,a4d,I do unpaid work
a,0, No
b,1, Yes
^,a4e,I am looking for work
a,0, No
b,1, Yes
^,a4f,I help out at home
a,0, No
b,1, Yes
^,a4i,I am currently in a vacation
a,0, No
b,1, Yes
^,a5,Schooling
a,1, I have never been to school
b,2, Preschool
b,3, Elementary
b,4, High School
b,5, Senior High School
b,6, Technical-vocational course
b,7, College
c,8, Other (please; specify)
x,9, Prefer not to say
^,b1,How old were you when you first used the internet?
x,99, Prefer not to say
^,b3,Are you able to access the internet when you want to or need to?
a,1, Never
b,2, Sometimes
b,3, Often
b,4, Always
^,b6a,At school or college
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6b,At home
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6c,In the home of friends or relatives
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6d,In a public place (for example; in libraries; cafés; computer shops)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6e,When I am on my way somewhere (e.g. on the street; in a bus or car)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6f,When I am somewhere by myself
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b6g,PisoNet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7a,A mobile phone that is not a smartphone
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7b,A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7c,A desktop computer
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7d,A laptop or notebook computer
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7e,A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b7f,A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,b8a,A mobile phone that is not a smartphone
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b8b,A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc]
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b8c,A desktop computer
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b8d,A laptop or notebook computer
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b8e,A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc]
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b8f,A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc]
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b9a,I use a postpaid plan (i.e.; with contracts)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b9b,I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b9c,I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b9d,I use prepaid offers (e.g. GOSurf; GIGASurf; etc.)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,b10a,Do you connect to the internet by yourself?
a,0, No
b,1, Yes
^,b10b1,My parents
a,0, No
b,1, Yes
^,b10b2,My siblings
a,0, No
b,1, Yes
^,b10b3,Relatives
a,0, No
b,1, Yes
^,b10c1,Friends who are the same age as I am
a,0, No
b,1, Yes
^,b10c2,Friends who are older than me
a,0, No
b,1, Yes
^,b10d,My teacher
a,0, No
b,1, Yes
^,b10e,Others
a,0, No
b,1, Yes
^,b11,About how long do you spend on the internet on an ordinary week day (school day or working day)?
^,b12,About how long do you spend on the internet on a day at the weekend?
^,c1,Do you usually have a good time or fun when you go online?
a,1, Yes; always
a,2, Yes; sometimes
b,3, No; not often
c,4, Other (please specify)
x,5, Prefer not to say
^,c2,What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?
a,1, Not true
b,2, A bit true
b,3, Fairly true
b,4, Very true
x,5, Prefer not to say
^,c4a,I learned something new by searching online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4c,I used the internet for schoolwork
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4b,I looked for information about work or study opportunities
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4c1,Checked maps
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4c2,I looked for information about the place I want to go visit/eat
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4d,I looked for resources or events about my local neighbourhood
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4f,I got involved online in a local organisation or charity
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4g,I used the internet to help somebody else
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4e,I used the internet to talk to people from places or backgrounds different from mine
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4h,I looked for the news online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4i,I discussed political or social problems with other people online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4j,I got involved online in a campaign or protest
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4k,I signed a petition online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4l,I used the internet to join a civic; religious or political group
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4o,I posted videos or music created by someone else
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4m,I created my own video or music and uploaded it to share
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4n,I created a blog or story or website online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4o1,I created my own artwork; designs and illustrations and uploaded them on the internet
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4r,I used instant messaging [insert local examples e.g. Viber; WhatsApp]
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4p,I visited a social network site (e.g.; Facebook [add local examples])
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4t,I helped someone else who needed or wanted to go online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4q,I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime)
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4u,I commented on the updates that friends or family have put online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4t1,I re-posted or shared a social media post online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4v,I showed my friends or family something that I saw online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4w,I visited a chatroom to meet new people [insert local examples]
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4x,I watched video clips (e.g. on YouTube [insert local examples])
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4y,I played online games alone
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4z,I played games with other people online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4bb,I listened to music online (by downloading or streaming)
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4cc,I watched my favourite TV shows
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4cc1,I joined a fan site (of a celebrity or popular band)
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4gg,I posted photos or comments online (e.g. on Facebook or a blog)
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4ee,I looked for health information for myself or someone I know
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4ff,I participated in a site where people share my interests or hobbies
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4hh,I browsed for things to buy
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4hh1,I checked out what things cost by looking online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c4hh2,I have sold an item online
a,1, Never
a,2, Hardly ever
b,3, At least every week
b,4, Daily or almost daily
b,5, Several times each day
b,6, Almost all the time
x,7, Prefer not to say
^,c6a,My mother or father (or step/foster mother or father)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6b,My brother or sister (or step/foster/half siblings)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6c,A friend around my age
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6d,A teacher
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6e,Another adult I trust
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6f,Someone I first met on the internet; but who is friends or family of other people I know in person
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6g,Someone I first met on the internet; but who has no other connection to my life outside of the internet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6g1,A relative or friend who is an OFW (overseas Filipino worker)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c6h,Someone else
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7a,My mother or father (or step/foster mother or father)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7b,My brother or sister (or step/foster/half siblings)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7c,A friend around my age
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7d,A teacher
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7e,Another adult I trust
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7f,Someone I first met on the internet; but who is friends or family of other people I know in person
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7g,Someone I first met on the internet; but who has no other connection to my life outside of the internet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7g1,A relative or friend who is an OFW (overseas Filipino worker)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c7h,Someone else
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8a,My mother or father (or step/foster mother or father)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8b,My brother or sister (or step/foster/half siblings)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8c,A friend around my age
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8d,A teacher
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8e,Another adult I trust
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8f,Someone I first met on the internet; but who is friends or family of other people I know in person
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8g,Someone I first met on the internet; but who has no other connection to my life outside of the internet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8g1,A relative or friend who is an OFW (overseas Filipino worker)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c8h,Someone else
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9a,My mother or father (or step/foster mother or father)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9b,My brother or sister (or step/foster/half siblings)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9c,A friend around my age
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9d,A teacher
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9e,Another adult I trust
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9f,Someone I first met on the internet; but who is friends or family of other people I know in person
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9g,Someone I first met on the internet; but who has no other connection to my life outside of the internet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9g1,A relative or friend who is an OFW (overseas Filipino worker)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c9h,Someone else
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10a,Making presentations
a,1, Never
